coach_name,coach_id,class_start_time,class_day_of_week,class_date,class_type,muscle_focus_upper,muscle_focus_lower,client_name,client_id,subscription_plan
Avery Harve,C002,05:00,Friday,2025-02-07,Advanced,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Riley Chen,C009,06:45,Saturday,2025-02-08,Foundation,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,05:30,Sunday,2025-02-09,Focus,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,05:00,Friday,2025-02-14,Foundation,Back,Center Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,20:30,Sunday,2025-02-16,Foundation,Shoulders,Leg Wrap,Noah Morgan,CL056,unlimited
Morgan Patel,C010,11:45,Monday,2025-02-17,Focus,Back,Center Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,11:45,Tuesday,2025-02-18,Advanced,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,15:15,Wednesday,2025-02-19,Advanced,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Jon Flynn,C014,19:45,Friday,2025-02-21,Foundation,Back,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,11:45,Saturday,2025-02-22,Focus,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Dette Ellis,C013,18:15,Wednesday,2025-02-26,Focus,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,05:15,Thursday,2025-02-27,Foundation,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Alex Blake,C008,09:45,Saturday,2025-03-01,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,07:30,Sunday,2025-03-02,Foundation,Back,Center Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,12:45,Tuesday,2025-03-04,Foundation,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Morgan Patel,C010,08:00,Thursday,2025-03-06,Focus,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Phoenix Green,C012,12:45,Saturday,2025-03-08,Focus,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Sydney Romero,C011,21:30,Sunday,2025-03-09,Focus,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,16:45,Monday,2025-03-10,Foundation,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Devon Knight,C005,13:45,Tuesday,2025-03-11,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Jon Flynn,C014,15:15,Sunday,2025-03-16,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,20:30,Wednesday,2025-03-19,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,12:30,Thursday,2025-03-20,Focus,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,07:00,Friday,2025-03-21,Advanced,Back,Center Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,16:45,Monday,2025-03-24,Focus,Back,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,10:00,Wednesday,2025-03-26,Focus,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,05:30,Thursday,2025-03-27,Foundation,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,17:30,Saturday,2025-03-29,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Casey Hugh,C004,12:00,Thursday,2025-04-03,Advanced,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,11:30,Friday,2025-04-04,Advanced,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Morgan Patel,C010,20:30,Saturday,2025-04-05,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Morgan Patel,C010,17:15,Sunday,2025-04-06,Focus,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,05:45,Monday,2025-04-07,Focus,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,09:45,Tuesday,2025-04-08,Advanced,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,06:45,Wednesday,2025-04-09,Focus,Back,Hamstrings,Noah Morgan,CL056,unlimited
Jon Flynn,C014,18:45,Thursday,2025-04-10,Focus,Back,Center Glutes,Noah Morgan,CL056,unlimited
Sydney Romero,C011,20:30,Monday,2025-04-14,Advanced,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Sydney Romero,C011,14:30,Wednesday,2025-04-16,Advanced,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Phoenix Green,C012,09:45,Saturday,2025-04-19,Foundation,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Sydney Romero,C011,07:00,Sunday,2025-04-20,Advanced,Back,Hamstrings,Noah Morgan,CL056,unlimited
Phoenix Green,C012,10:15,Tuesday,2025-04-22,Focus,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,10:30,Thursday,2025-04-24,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,14:00,Tuesday,2025-04-29,Focus,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Avery Harve,C002,07:45,Wednesday,2025-04-30,Focus,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,15:30,Thursday,2025-05-01,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,11:45,Friday,2025-05-02,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,21:15,Saturday,2025-05-03,Advanced,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Dette Ellis,C013,19:00,Friday,2025-05-09,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,18:45,Saturday,2025-05-10,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,17:15,Sunday,2025-05-11,Focus,Arm Wrap,Hamstrings,Noah Morgan,CL056,unlimited
Alex Blake,C008,21:30,Thursday,2025-05-15,Foundation,Back,Hamstrings,Noah Morgan,CL056,unlimited
Avery Harve,C002,14:15,Saturday,2025-05-17,Foundation,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Avery Harve,C002,20:15,Sunday,2025-05-18,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Morgan Patel,C010,06:30,Monday,2025-05-19,Focus,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,13:15,Tuesday,2025-05-20,Advanced,Shoulders,Leg Wrap,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,19:15,Wednesday,2025-05-21,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,18:00,Friday,2025-05-23,Advanced,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,16:30,Monday,2025-05-26,Focus,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Devon Knight,C005,08:00,Tuesday,2025-05-27,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,15:45,Sunday,2025-06-01,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,14:30,Monday,2025-06-02,Advanced,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Riley Chen,C009,05:15,Tuesday,2025-06-03,Foundation,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Dette Ellis,C013,14:00,Thursday,2025-06-05,Foundation,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Morgan Patel,C010,12:00,Friday,2025-06-06,Focus,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,08:00,Monday,2025-06-09,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,07:15,Tuesday,2025-06-10,Focus,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,16:00,Wednesday,2025-06-11,Foundation,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,14:00,Thursday,2025-06-12,Advanced,Back,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,20:00,Tuesday,2025-06-17,Focus,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Kendall Jones,C015,17:30,Wednesday,2025-06-18,Focus,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Benton Watts,C006,18:30,Friday,2025-06-20,Focus,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Kendall Jones,C015,12:45,Saturday,2025-06-21,Foundation,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Devon Knight,C005,20:15,Sunday,2025-06-22,Advanced,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,21:00,Monday,2025-06-23,Focus,Back,Hamstrings,Noah Morgan,CL056,unlimited
Casey Hugh,C004,16:00,Tuesday,2025-06-24,Advanced,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Devon Knight,C005,13:45,Wednesday,2025-06-25,Focus,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Dette Ellis,C013,06:00,Saturday,2025-06-28,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Sydney Romero,C011,17:00,Tuesday,2025-07-01,Focus,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,07:45,Friday,2025-07-04,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Kendall Jones,C015,17:45,Sunday,2025-07-06,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Casey Hugh,C004,05:15,Thursday,2025-07-10,Advanced,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,08:15,Friday,2025-07-11,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Avery Harve,C002,17:30,Monday,2025-07-14,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,16:45,Wednesday,2025-07-16,Foundation,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,18:00,Friday,2025-07-18,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,10:15,Monday,2025-07-21,Advanced,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,20:30,Wednesday,2025-07-23,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Riley Chen,C009,06:45,Thursday,2025-07-24,Foundation,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Avery Harve,C002,15:45,Friday,2025-07-25,Foundation,Shoulders,Leg Wrap,Noah Morgan,CL056,unlimited
Kendall Jones,C015,13:15,Sunday,2025-07-27,Foundation,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Jon Flynn,C014,13:45,Monday,2025-07-28,Foundation,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,13:30,Tuesday,2025-07-29,Advanced,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,13:30,Wednesday,2025-07-30,Advanced,Back,Hamstrings,Noah Morgan,CL056,unlimited
Morgan Patel,C010,21:45,Saturday,2025-08-02,Advanced,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Morgan Patel,C010,11:15,Sunday,2025-08-03,Focus,Back,Center Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,15:15,Monday,2025-08-04,Foundation,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Sydney Romero,C011,18:00,Friday,2025-08-08,Focus,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Sydney Romero,C011,08:30,Saturday,2025-08-09,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Dette Ellis,C013,10:45,Sunday,2025-08-10,Focus,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,14:15,Tuesday,2025-08-12,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Avery Harve,C002,11:15,Thursday,2025-08-14,Advanced,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Jon Flynn,C014,07:15,Friday,2025-08-15,Focus,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,07:00,Tuesday,2025-08-19,Focus,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,09:30,Wednesday,2025-08-20,Advanced,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,16:45,Saturday,2025-08-23,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Riley Chen,C009,13:15,Sunday,2025-08-24,Focus,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Alex Blake,C008,07:15,Tuesday,2025-08-26,Foundation,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,10:15,Thursday,2025-08-28,Focus,Arm Wrap,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,18:45,Friday,2025-08-29,Foundation,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Morgan Patel,C010,14:45,Thursday,2025-09-04,Focus,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,14:15,Friday,2025-09-05,Advanced,Triceps,Outer Glutes,Noah Morgan,CL056,unlimited
Morgan Patel,C010,11:00,Wednesday,2025-09-10,Foundation,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Sydney Romero,C011,20:15,Thursday,2025-09-11,Advanced,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,13:00,Sunday,2025-09-14,Advanced,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,18:45,Monday,2025-09-15,Focus,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Hayden Klo,C001,11:00,Wednesday,2025-09-17,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Alex Blake,C008,19:00,Thursday,2025-09-18,Foundation,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Kendall Jones,C015,11:15,Saturday,2025-09-20,Foundation,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,08:00,Wednesday,2025-09-24,Foundation,Shoulders,Outer Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,05:15,Thursday,2025-09-25,Foundation,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Jon Flynn,C014,08:15,Friday,2025-09-26,Focus,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,07:00,Saturday,2025-09-27,Foundation,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,08:30,Monday,2025-09-29,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Jon Flynn,C014,15:00,Tuesday,2025-09-30,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,10:15,Thursday,2025-10-02,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,15:00,Sunday,2025-10-05,Focus,Back,Hamstrings,Noah Morgan,CL056,unlimited
Jon Flynn,C014,18:00,Monday,2025-10-06,Advanced,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,18:15,Wednesday,2025-10-08,Foundation,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,07:30,Friday,2025-10-10,Advanced,Back,Center Glutes,Noah Morgan,CL056,unlimited
Kendall Jones,C015,05:45,Sunday,2025-10-12,Foundation,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Hayden Klo,C001,20:30,Monday,2025-10-13,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,16:00,Tuesday,2025-10-14,Advanced,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Riley Chen,C009,07:45,Friday,2025-10-17,Focus,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Devon Knight,C005,06:45,Thursday,2025-10-23,Advanced,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Hayden Klo,C001,21:45,Saturday,2025-10-25,Foundation,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Morgan Patel,C010,05:15,Sunday,2025-10-26,Focus,Back,Hamstrings,Noah Morgan,CL056,unlimited
Hayden Klo,C001,06:30,Tuesday,2025-10-28,Advanced,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,06:45,Thursday,2025-10-30,Foundation,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,08:30,Monday,2025-11-03,Advanced,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,09:45,Thursday,2025-11-06,Focus,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Devon Knight,C005,06:00,Saturday,2025-11-08,Foundation,Biceps,Outer Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,16:30,Monday,2025-11-10,Foundation,Arm Wrap,Center Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,14:30,Tuesday,2025-11-11,Focus,Shoulders,Leg Wrap,Noah Morgan,CL056,unlimited
Hayden Klo,C001,20:15,Saturday,2025-11-15,Focus,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,17:45,Monday,2025-11-17,Advanced,Back,Hamstrings,Noah Morgan,CL056,unlimited
Alex Blake,C008,16:30,Tuesday,2025-11-18,Advanced,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Devon Knight,C005,15:15,Wednesday,2025-11-19,Focus,Triceps,Leg Wrap,Noah Morgan,CL056,unlimited
Hayden Klo,C001,20:45,Thursday,2025-11-20,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Phoenix Green,C012,11:00,Friday,2025-11-21,Focus,Biceps,Leg Wrap,Noah Morgan,CL056,unlimited
Sydney Romero,C011,07:15,Sunday,2025-11-23,Advanced,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Devon Knight,C005,11:15,Monday,2025-11-24,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Morgan Patel,C010,18:30,Wednesday,2025-11-26,Foundation,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Devon Knight,C005,17:00,Thursday,2025-11-27,Foundation,Back,Hamstrings,Noah Morgan,CL056,unlimited
Kendall Jones,C015,11:30,Saturday,2025-11-29,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Devon Knight,C005,06:15,Monday,2025-12-01,Foundation,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Alex Blake,C008,07:45,Tuesday,2025-12-02,Foundation,Back,Outer Glutes,Noah Morgan,CL056,unlimited
Benton Watts,C006,19:30,Wednesday,2025-12-03,Foundation,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Hayden Klo,C001,07:00,Thursday,2025-12-04,Foundation,Triceps,Center Glutes,Noah Morgan,CL056,unlimited
Dette Ellis,C013,19:15,Friday,2025-12-05,Focus,Biceps,Center Glutes,Noah Morgan,CL056,unlimited
Casey Hugh,C004,16:30,Sunday,2025-12-07,Foundation,Shoulders,Hamstrings,Noah Morgan,CL056,unlimited
Benton Watts,C006,10:30,Monday,2025-12-08,Foundation,Arm Wrap,Hamstrings,Noah Morgan,CL056,unlimited
Phoenix Green,C012,10:45,Tuesday,2025-12-09,Focus,Arm Wrap,Leg Wrap,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,18:30,Wednesday,2025-12-10,Focus,Arm Wrap,Hamstrings,Noah Morgan,CL056,unlimited
Devon Knight,C005,10:15,Thursday,2025-12-11,Foundation,Shoulders,Center Glutes,Noah Morgan,CL056,unlimited
Alex Blake,C008,14:00,Friday,2025-12-12,Focus,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Benton Watts,C006,20:00,Saturday,2025-12-13,Focus,Biceps,Hamstrings,Noah Morgan,CL056,unlimited
Finley Yaroslavsky,C003,20:45,Monday,2025-12-15,Focus,Triceps,Hamstrings,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,08:30,Tuesday,2025-12-16,Focus,Back,Leg Wrap,Noah Morgan,CL056,unlimited
Tylor Tquinn,C007,12:00,Wednesday,2025-12-17,Focus,Arm Wrap,Outer Glutes,Noah Morgan,CL056,unlimited
Devon Knight,C005,08:15,Friday,2025-01-03,Foundation,Back,Outer Glutes,Noah Shah,CL057,4_per_month
Benton Watts,C006,14:45,Saturday,2025-01-04,Focus,Arm Wrap,Hamstrings,Noah Shah,CL057,4_per_month
Alex Blake,C008,07:45,Monday,2025-01-06,Advanced,Triceps,Leg Wrap,Noah Shah,CL057,4_per_month
Morgan Patel,C010,05:45,Thursday,2025-01-09,Focus,Triceps,Outer Glutes,Noah Shah,CL057,4_per_month
Kendall Jones,C015,15:00,Friday,2025-01-24,Focus,Shoulders,Leg Wrap,Noah Shah,CL057,4_per_month
Casey Hugh,C004,13:00,Wednesday,2025-01-29,Advanced,Arm Wrap,Center Glutes,Noah Shah,CL057,4_per_month
Tylor Tquinn,C007,07:45,Friday,2025-01-31,Foundation,Arm Wrap,Hamstrings,Noah Shah,CL057,4_per_month
Casey Hugh,C004,12:00,Sunday,2025-02-02,Focus,Back,Leg Wrap,Noah Shah,CL057,4_per_month
Alex Blake,C008,10:00,Tuesday,2025-02-04,Advanced,Triceps,Center Glutes,Noah Shah,CL057,4_per_month
Morgan Patel,C010,17:30,Wednesday,2025-02-05,Advanced,Shoulders,Outer Glutes,Noah Shah,CL057,4_per_month
Hayden Klo,C001,05:00,Saturday,2025-02-15,Focus,Triceps,Outer Glutes,Noah Shah,CL057,4_per_month
Jon Flynn,C014,09:45,Saturday,2025-02-22,Focus,Shoulders,Hamstrings,Noah Shah,CL057,4_per_month
Jon Flynn,C014,14:00,Thursday,2025-02-27,Foundation,Triceps,Hamstrings,Noah Shah,CL057,4_per_month
Sydney Romero,C011,07:00,Thursday,2025-03-06,Foundation,Shoulders,Outer Glutes,Noah Shah,CL057,4_per_month
Kendall Jones,C015,14:45,Monday,2025-03-10,Advanced,Biceps,Outer Glutes,Noah Shah,CL057,4_per_month
Kendall Jones,C015,21:15,Sunday,2025-03-23,Foundation,Arm Wrap,Center Glutes,Noah Shah,CL057,4_per_month
Kendall Jones,C015,14:15,Tuesday,2025-03-25,Focus,Arm Wrap,Center Glutes,Noah Shah,CL057,4_per_month
Riley Chen,C009,16:00,Wednesday,2025-04-02,Focus,Triceps,Hamstrings,Noah Shah,CL057,4_per_month
Casey Hugh,C004,13:45,Tuesday,2025-04-08,Foundation,Biceps,Leg Wrap,Noah Shah,CL057,4_per_month
Jon Flynn,C014,20:30,Wednesday,2025-04-09,Focus,Triceps,Hamstrings,Noah Shah,CL057,4_per_month
Dette Ellis,C013,12:00,Sunday,2025-04-13,Advanced,Triceps,Outer Glutes,Noah Shah,CL057,4_per_month
Dette Ellis,C013,15:30,Friday,2025-05-02,Foundation,Biceps,Center Glutes,Noah Shah,CL057,4_per_month
Kendall Jones,C015,08:15,Wednesday,2025-05-14,Focus,Triceps,Center Glutes,Noah Shah,CL057,4_per_month
Sydney Romero,C011,05:45,Wednesday,2025-06-04,Focus,Arm Wrap,Center Glutes,Noah Shah,CL057,4_per_month
Riley Chen,C009,18:30,Sunday,2025-06-08,Focus,Shoulders,Leg Wrap,Noah Shah,CL057,4_per_month
Avery Harve,C002,21:15,Saturday,2025-06-21,Advanced,Triceps,Leg Wrap,Noah Shah,CL057,4_per_month
Phoenix Green,C012,15:30,Wednesday,2025-06-25,Focus,Shoulders,Outer Glutes,Noah Shah,CL057,4_per_month
Jon Flynn,C014,20:15,Thursday,2025-06-26,Foundation,Biceps,Outer Glutes,Noah Shah,CL057,4_per_month
Sydney Romero,C011,20:15,Sunday,2025-06-29,Focus,Back,Center Glutes,Noah Shah,CL057,4_per_month
Tylor Tquinn,C007,21:30,Friday,2025-07-04,Foundation,Triceps,Hamstrings,Noah Shah,CL057,4_per_month
Avery Harve,C002,20:30,Tuesday,2025-07-22,Foundation,Arm Wrap,Hamstrings,Noah Shah,CL057,4_per_month
Avery Harve,C002,21:30,Friday,2025-08-01,Focus,Back,Center Glutes,Noah Shah,CL057,4_per_month
Devon Knight,C005,05:30,Sunday,2025-08-03,Foundation,Arm Wrap,Outer Glutes,Noah Shah,CL057,4_per_month
Phoenix Green,C012,16:00,Sunday,2025-08-24,Focus,Shoulders,Hamstrings,Noah Shah,CL057,4_per_month
Riley Chen,C009,07:30,Saturday,2025-08-30,Focus,Biceps,Center Glutes,Noah Shah,CL057,4_per_month
Phoenix Green,C012,10:30,Tuesday,2025-09-02,Foundation,Arm Wrap,Leg Wrap,Noah Shah,CL057,4_per_month
Morgan Patel,C010,16:30,Sunday,2025-09-07,Foundation,Shoulders,Hamstrings,Noah Shah,CL057,4_per_month
Phoenix Green,C012,20:00,Saturday,2025-09-13,Focus,Back,Leg Wrap,Noah Shah,CL057,4_per_month
Tylor Tquinn,C007,21:15,Wednesday,2025-09-17,Foundation,Arm Wrap,Hamstrings,Noah Shah,CL057,4_per_month
Finley Yaroslavsky,C003,09:15,Saturday,2025-10-04,Foundation,Arm Wrap,Hamstrings,Noah Shah,CL057,4_per_month
Benton Watts,C006,17:45,Saturday,2025-10-11,Focus,Triceps,Leg Wrap,Noah Shah,CL057,4_per_month
Jon Flynn,C014,11:30,Wednesday,2025-10-15,Advanced,Shoulders,Leg Wrap,Noah Shah,CL057,4_per_month
Tylor Tquinn,C007,10:45,Sunday,2025-10-19,Focus,Triceps,Leg Wrap,Noah Shah,CL057,4_per_month
Casey Hugh,C004,13:15,Monday,2025-10-20,Focus,Shoulders,Hamstrings,Noah Shah,CL057,4_per_month
Finley Yaroslavsky,C003,11:30,Monday,2025-10-27,Focus,Biceps,Center Glutes,Noah Shah,CL057,4_per_month
Finley Yaroslavsky,C003,05:30,Tuesday,2025-11-04,Foundation,Shoulders,Hamstrings,Noah Shah,CL057,4_per_month
Kendall Jones,C015,20:30,Thursday,2025-11-06,Foundation,Back,Center Glutes,Noah Shah,CL057,4_per_month
Avery Harve,C002,14:15,Sunday,2025-11-09,Foundation,Triceps,Hamstrings,Noah Shah,CL057,4_per_month
Sydney Romero,C011,15:15,Monday,2025-11-10,Advanced,Arm Wrap,Outer Glutes,Noah Shah,CL057,4_per_month
Benton Watts,C006,20:45,Saturday,2025-11-22,Focus,Back,Hamstrings,Noah Shah,CL057,4_per_month
Tylor Tquinn,C007,14:15,Monday,2025-11-24,Focus,Shoulders,Outer Glutes,Noah Shah,CL057,4_per_month
Alex Blake,C008,09:15,Wednesday,2025-11-26,Focus,Arm Wrap,Center Glutes,Noah Shah,CL057,4_per_month
Avery Harve,C002,08:00,Wednesday,2025-12-03,Foundation,Biceps,Leg Wrap,Noah Shah,CL057,4_per_month
Avery Harve,C002,05:45,Thursday,2025-12-04,Foundation,Triceps,Leg Wrap,Noah Shah,CL057,4_per_month
Finley Yaroslavsky,C003,13:45,Friday,2025-12-05,Advanced,Triceps,Outer Glutes,Noah Shah,CL057,4_per_month
Phoenix Green,C012,08:15,Saturday,2025-12-06,Foundation,Biceps,Hamstrings,Noah Shah,CL057,4_per_month
Casey Hugh,C004,10:00,Thursday,2025-12-18,Focus,Biceps,Outer Glutes,Noah Shah,CL057,4_per_month
